"churn","monthly_bill","gender","millenial","clanmembership","platformsince","avatar","internet_connect","extrapro_account","contract_length","customer_support","payment_type"
"Yes",98.55,"Male","Gen Z","No",10,"Yes","Fiber optic","Yes","Month-to-month","No","Electronic check"
"No",24.1,"Female","Gen Z","Yes",61,"Yes","Base DSL_16MB/S","Yes","Two year","Yes","PrePaid"
"No",44.05,"Female","Gen Z","No",5,"Yes","DSL_16MB/S","No","Month-to-month","Yes","Credit card (automatic)"
"No",110.8,"Female","Millenial","Yes",72,"Yes","Fiber optic","Yes","Two year","Yes","Credit card (automatic)"
"No",114.95,"Male","Millenial","Yes",72,"Yes","Fiber optic","Yes","Two year","Yes","Bank transfer (automatic)"
"No",75.05,"Female","Millenial","No",3,"Yes","Fiber optic","No","Month-to-month","No","PrePaid"
"No",19.25,"Male","Gen Z","Yes",48,"Yes","Base DSL_16MB/S","No","Two year","No","PrePaid"
"No",90.05,"Female","Gen Z","No",63,"Yes","Fiber optic","No","One year","Yes","Credit card (automatic)"
"No",56.7,"Female","Gen Z","No",27,"Yes","DSL_16MB/S","No","Month-to-month","Yes","PrePaid"
"No",80.15,"Male","Gen Z","Yes",70,"Yes","DSL_16MB/S","No","Two year","Yes","Credit card (automatic)"
"No",71.35,"Male","Gen Z","Yes",7,"Yes","DSL_16MB/S","No","Month-to-month","Yes","Credit card (automatic)"
"No",20.25,"Male","Gen Z","No",0,"Yes","Base DSL_16MB/S","No","Two year","No","PrePaid"
"Yes",98.55,"Male","Millenial","No",20,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"No",19.7,"Male","Gen Z","No",66,"Yes","Base DSL_16MB/S","No","Two year","No","Bank transfer (automatic)"
"Yes",85.9,"Female","Gen Z","No",15,"Yes","Fiber optic","No","Month-to-month","Yes","Bank transfer (automatic)"
"Yes",70.3,"Male","Gen Z","Yes",3,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"No",66.85,"Female","Gen Z","Yes",72,"Yes","DSL_16MB/S","Yes","Two year","No","Bank transfer (automatic)"
"No",35.8,"Female","Gen Z","No",11,"No","DSL_16MB/S","No","Month-to-month","Yes","PrePaid"
"No",78.85,"Male","Gen Z","No",22,"Yes","Fiber optic","Yes","Month-to-month","Yes","PrePaid"
"No",20.4,"Male","Gen Z","No",14,"Yes","Base DSL_16MB/S","No","One year","No","Bank transfer (automatic)"
"No",64.8,"Male","Gen Z","Yes",17,"Yes","DSL_16MB/S","No","One year","No","PrePaid"
"No",20.45,"Male","Gen Z","No",11,"Yes","Base DSL_16MB/S","No","Month-to-month","Yes","Credit card (automatic)"
"Yes",19.9,"Female","Gen Z","No",1,"Yes","Base DSL_16MB/S","No","Month-to-month","No","PrePaid"
"Yes",95.8,"Male","Gen Z","Yes",33,"Yes","Fiber optic","No","One year","Yes","Electronic check"
"No",40.3,"Female","Gen Z","Yes",3,"No","DSL_16MB/S","No","Month-to-month","No","PrePaid"
"Yes",82,"Male","Gen Z","No",2,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"No",107,"Female","Gen Z","Yes",59,"Yes","Fiber optic","Yes","One year","Yes","Credit card (automatic)"
"Yes",45.35,"Male","Gen Z","No",2,"Yes","DSL_16MB/S","No","Month-to-month","No","Electronic check"
"No",73.35,"Male","Gen Z","Yes",71,"Yes","DSL_16MB/S","No","Two year","Yes","Credit card (automatic)"
"No",54.75,"Male","Gen Z","Yes",27,"Yes","DSL_16MB/S","No","Month-to-month","Yes","Credit card (automatic)"
"Yes",52.2,"Female","Gen Z","No",1,"Yes","DSL_16MB/S","No","Month-to-month","Yes","Electronic check"
"No",40.6,"Male","Gen Z","No",63,"No","DSL_16MB/S","No","One year","Yes","Bank transfer (automatic)"
"Yes",110,"Female","Millenial","No",46,"Yes","Fiber optic","Yes","One year","Yes","Electronic check"
"No",55.3,"Male","Gen Z","Yes",72,"Yes","DSL_16MB/S","Yes","Two year","No","Bank transfer (automatic)"
"No",69.65,"Male","Gen Z","No",72,"Yes","DSL_16MB/S","Yes","Two year","No","Bank transfer (automatic)"
"No",76.9,"Male","Gen Z","No",68,"Yes","DSL_16MB/S","Yes","One year","Yes","Credit card (automatic)"
"No",19.85,"Female","Gen Z","Yes",8,"Yes","Base DSL_16MB/S","No","Two year","Yes","PrePaid"
"No",81.7,"Male","Gen Z","No",31,"Yes","Fiber optic","Yes","One year","No","Credit card (automatic)"
"No",25.55,"Female","Gen Z","Yes",20,"Yes","Base DSL_16MB/S","Yes","Month-to-month","Yes","Bank transfer (automatic)"
"No",20,"Female","Gen Z","Yes",1,"Yes","Base DSL_16MB/S","No","Month-to-month","No","Electronic check"
"Yes",96.75,"Male","Gen Z","No",62,"Yes","Fiber optic","Yes","One year","Yes","Electronic check"
"No",75.65,"Female","Millenial","Yes",70,"Yes","Fiber optic","Yes","Two year","Yes","Credit card (automatic)"
"Yes",98.5,"Female","Gen Z","No",10,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"No",23.8,"Male","Gen Z","Yes",39,"Yes","Base DSL_16MB/S","Yes","Two year","Yes","PrePaid"
"No",64.2,"Female","Gen Z","Yes",46,"Yes","DSL_16MB/S","No","Two year","Yes","Credit card (automatic)"
"Yes",85.35,"Male","Gen Z","No",6,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"No",76.8,"Female","Gen Z","Yes",72,"Yes","DSL_16MB/S","Yes","Two year","Yes","Bank transfer (automatic)"
"No",55.2,"Male","Gen Z","No",18,"Yes","DSL_16MB/S","No","Month-to-month","No","Credit card (automatic)"
"No",108.55,"Male","Gen Z","Yes",71,"Yes","Fiber optic","Yes","Two year","Yes","Credit card (automatic)"
"Yes",69.55,"Male","Gen Z","No",1,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"Yes",103.25,"Male","Gen Z","No",58,"Yes","Fiber optic","Yes","One year","Yes","Bank transfer (automatic)"
"Yes",104,"Male","Gen Z","No",70,"Yes","Fiber optic","Yes","Two year","Yes","Credit card (automatic)"
"No",20.05,"Male","Millenial","No",5,"Yes","Base DSL_16MB/S","No","Month-to-month","No","Bank transfer (automatic)"
"No",84.6,"Female","Gen Z","No",25,"Yes","Fiber optic","Yes","Month-to-month","Yes","PrePaid"
"Yes",86.2,"Female","Gen Z","No",2,"Yes","Fiber optic","No","Month-to-month","Yes","PrePaid"
"No",103.7,"Female","Gen Z","Yes",55,"Yes","Fiber optic","No","One year","Yes","Bank transfer (automatic)"
"Yes",111.2,"Male","Gen Z","Yes",21,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"No",79.15,"Male","Gen Z","Yes",43,"Yes","DSL_16MB/S","No","Two year","Yes","Credit card (automatic)"
"No",63.95,"Male","Gen Z","No",5,"Yes","DSL_16MB/S","No","Month-to-month","Yes","Credit card (automatic)"
"No",25.8,"Female","Gen Z","No",62,"Yes","Base DSL_16MB/S","Yes","Two year","Yes","Credit card (automatic)"
"Yes",89.45,"Female","Gen Z","Yes",16,"Yes","Fiber optic","No","Month-to-month","Yes","Credit card (automatic)"
"Yes",95.6,"Male","Millenial","Yes",7,"Yes","Fiber optic","Yes","Month-to-month","Yes","Bank transfer (automatic)"
"No",44.85,"Male","Gen Z","Yes",34,"No","DSL_16MB/S","No","Month-to-month","Yes","Electronic check"
"Yes",108.55,"Female","Gen Z","Yes",50,"Yes","Fiber optic","Yes","One year","No","Electronic check"
"No",25.05,"Male","Gen Z","Yes",38,"Yes","Base DSL_16MB/S","Yes","Two year","No","Credit card (automatic)"
"No",74.1,"Female","Gen Z","Yes",70,"Yes","DSL_16MB/S","No","One year","No","Credit card (automatic)"
"Yes",78.85,"Female","Millenial","No",4,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"No",93.25,"Male","Millenial","Yes",60,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"Yes",44.4,"Male","Gen Z","No",1,"Yes","DSL_16MB/S","No","Month-to-month","No","PrePaid"
"No",79.2,"Male","Gen Z","No",36,"Yes","DSL_16MB/S","No","Month-to-month","Yes","Credit card (automatic)"
"Yes",100,"Female","Millenial","No",55,"Yes","Fiber optic","Yes","One year","Yes","Electronic check"
"No",105,"Female","Gen Z","Yes",72,"Yes","Fiber optic","Yes","Two year","Yes","Credit card (automatic)"
"Yes",19.8,"Female","Gen Z","Yes",12,"Yes","Base DSL_16MB/S","No","One year","No","Bank transfer (automatic)"
"No",30.85,"Female","Gen Z","No",13,"No","DSL_16MB/S","No","Month-to-month","Yes","Bank transfer (automatic)"
"Yes",89.9,"Male","Gen Z","No",1,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"No",20.55,"Female","Gen Z","Yes",15,"Yes","Base DSL_16MB/S","No","One year","No","PrePaid"
"No",84.85,"Female","Gen Z","No",65,"Yes","DSL_16MB/S","No","Two year","Yes","Bank transfer (automatic)"
"No",33.15,"Female","Gen Z","Yes",12,"No","DSL_16MB/S","No","One year","No","Credit card (automatic)"
"No",92,"Male","Gen Z","Yes",72,"Yes","DSL_16MB/S","Yes","Two year","Yes","Credit card (automatic)"
"No",89.8,"Female","Gen Z","Yes",72,"Yes","DSL_16MB/S","Yes","Two year","No","Credit card (automatic)"
"No",115.8,"Female","Gen Z","Yes",72,"Yes","Fiber optic","Yes","Two year","Yes","Bank transfer (automatic)"
"No",85.15,"Male","Gen Z","No",52,"Yes","DSL_16MB/S","Yes","Two year","Yes","PrePaid"
"No",24.85,"Male","Gen Z","No",2,"Yes","Base DSL_16MB/S","Yes","Month-to-month","No","PrePaid"
"No",64.35,"Female","Gen Z","No",5,"Yes","DSL_16MB/S","No","Month-to-month","Yes","Electronic check"
"No",20.5,"Female","Gen Z","No",68,"Yes","Base DSL_16MB/S","No","Two year","No","Credit card (automatic)"
"Yes",100.15,"Female","Gen Z","No",62,"Yes","Fiber optic","Yes","One year","Yes","Electronic check"
"Yes",50.8,"Male","Gen Z","No",1,"Yes","DSL_16MB/S","No","Month-to-month","No","Electronic check"
"No",19.8,"Male","Gen Z","No",26,"Yes","Base DSL_16MB/S","No","One year","No","Credit card (automatic)"
"Yes",73.65,"Male","Millenial","Yes",20,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"Yes",95.1,"Female","Gen Z","No",3,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"Yes",94.65,"Male","Gen Z","No",22,"Yes","Fiber optic","Yes","Month-to-month","Yes","Credit card (automatic)"
"No",39,"Male","Gen Z","Yes",62,"No","DSL_16MB/S","No","Two year","Yes","Bank transfer (automatic)"
"No",20.5,"Female","Gen Z","No",5,"Yes","Base DSL_16MB/S","No","Month-to-month","Yes","PrePaid"
"Yes",85.55,"Male","Gen Z","Yes",59,"Yes","Fiber optic","Yes","One year","No","Electronic check"
"No",26.4,"Male","Gen Z","No",3,"Yes","Base DSL_16MB/S","Yes","Two year","Yes","PrePaid"
"No",98.2,"Female","Gen Z","Yes",72,"Yes","Fiber optic","Yes","Two year","Yes","Bank transfer (automatic)"
"No",19.95,"Male","Gen Z","No",66,"Yes","Base DSL_16MB/S","No","Two year","No","Credit card (automatic)"
"No",99.7,"Male","Gen Z","No",45,"Yes","Fiber optic","Yes","Two year","No","Bank transfer (automatic)"
"Yes",105.1,"Female","Gen Z","No",15,"Yes","Fiber optic","No","Month-to-month","No","Electronic check"
"No",60.15,"Female","Gen Z","No",51,"No","DSL_16MB/S","No","One year","No","Bank transfer (automatic)"
"No",64.75,"Female","Gen Z","No",60,"Yes","DSL_16MB/S","Yes","One year","No","Electronic check"
"No",111.25,"Female","Gen Z","Yes",67,"Yes","Fiber optic","Yes","One year","Yes","Electronic check"
"No",35.8,"Female","Gen Z","Yes",49,"No","DSL_16MB/S","No","One year","Yes","Credit card (automatic)"
"No",84.35,"Female","Millenial","No",7,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"Yes",100.55,"Female","Gen Z","Yes",63,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"No",89.3,"Male","Gen Z","Yes",31,"Yes","Fiber optic","Yes","Month-to-month","No","Electronic check"
"No",81.2,"Female","Gen Z","Yes",63,"Yes","Fiber optic","Yes","One year","Yes","Credit card (automatic)"
"No",116.1,"Male","Gen Z","Yes",71,"Yes","Fiber optic","Yes","Two year","Yes","Bank transfer (automatic)"
"No",105.55,"Female","Gen Z","No",53,"Yes","Fiber optic","Yes","Two year","No","Electronic check"
"Yes",98.9,"Female","Gen Z","No",12,"Yes","Fiber optic","No","Month-to-month","Yes","Bank transfer (automatic)"
"No",19.5,"Female","Gen Z","No",2,"Yes","Base DSL_16MB/S","No","Month-to-month","No","PrePaid"
"Yes",98.3,"Female","Gen Z","No",9,"Yes","Fiber optic","Yes","Month-to-month","No","Credit card (automatic)"
"No",81.35,"Male","Gen Z","Yes",67,"Yes","DSL_16MB/S","No","Two year","No","Credit card (automatic)"
"Yes",100.5,"Male","Millenial","No",9,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"No",56.4,"Male","Gen Z","No",4,"Yes","DSL_16MB/S","No","Month-to-month","Yes","Electronic check"
"No",65.35,"Male","Gen Z","No",19,"Yes","DSL_16MB/S","No","One year","Yes","Bank transfer (automatic)"
"No",111.25,"Female","Gen Z","No",71,"Yes","Fiber optic","Yes","Two year","Yes","Electronic check"
"No",89,"Female","Millenial","No",15,"Yes","Fiber optic","Yes","Month-to-month","No","Credit card (automatic)"
"No",106.1,"Male","Gen Z","Yes",72,"Yes","Fiber optic","Yes","One year","Yes","Bank transfer (automatic)"
"No",20.05,"Male","Gen Z","No",12,"Yes","Base DSL_16MB/S","No","One year","No","Credit card (automatic)"
"No",25.2,"Male","Gen Z","Yes",72,"Yes","Base DSL_16MB/S","Yes","Two year","Yes","Bank transfer (automatic)"
"Yes",73.55,"Male","Millenial","Yes",1,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"No",80.7,"Female","Gen Z","No",26,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"No",104.55,"Female","Gen Z","No",21,"Yes","Fiber optic","No","One year","Yes","PrePaid"
"No",20.45,"Male","Gen Z","No",12,"Yes","Base DSL_16MB/S","No","Month-to-month","No","PrePaid"
"No",79.7,"Female","Gen Z","Yes",63,"Yes","DSL_16MB/S","Yes","One year","Yes","Credit card (automatic)"
"Yes",79.4,"Female","Millenial","No",3,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"Yes",81.15,"Female","Gen Z","No",13,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"No",86.45,"Female","Gen Z","Yes",30,"Yes","Fiber optic","No","One year","No","Electronic check"
"No",75.1,"Female","Gen Z","No",16,"Yes","Fiber optic","No","Month-to-month","No","Bank transfer (automatic)"
"No",19.3,"Male","Gen Z","Yes",72,"Yes","Base DSL_16MB/S","No","Two year","No","Credit card (automatic)"
"Yes",84.6,"Female","Millenial","No",4,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"No",33.6,"Female","Gen Z","No",12,"No","DSL_16MB/S","No","One year","Yes","PrePaid"
"No",83.25,"Female","Millenial","Yes",4,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"No",80.85,"Female","Gen Z","Yes",0,"Yes","DSL_16MB/S","No","Two year","No","PrePaid"
"Yes",79.05,"Female","Gen Z","No",6,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"No",21.05,"Female","Gen Z","No",24,"Yes","Base DSL_16MB/S","No","One year","No","Bank transfer (automatic)"
"No",91.35,"Female","Millenial","Yes",32,"Yes","Fiber optic","Yes","Month-to-month","Yes","PrePaid"
"Yes",99.05,"Male","Millenial","No",35,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"Yes",44.95,"Male","Millenial","No",2,"Yes","DSL_16MB/S","No","Month-to-month","No","PrePaid"
"No",75.6,"Female","Gen Z","No",8,"Yes","Fiber optic","No","Month-to-month","No","Electronic check"
"No",55.1,"Male","Gen Z","No",22,"Yes","DSL_16MB/S","No","Month-to-month","No","PrePaid"
"No",58.95,"Female","Gen Z","No",15,"Yes","DSL_16MB/S","No","Month-to-month","No","Electronic check"
"No",95.1,"Male","Gen Z","No",22,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"No",56.75,"Male","Gen Z","No",4,"Yes","DSL_16MB/S","No","Month-to-month","No","Electronic check"
"No",81.75,"Male","Gen Z","No",25,"Yes","DSL_16MB/S","Yes","Month-to-month","No","Bank transfer (automatic)"
"No",20.5,"Male","Gen Z","No",17,"Yes","Base DSL_16MB/S","No","One year","Yes","PrePaid"
"No",60.9,"Male","Millenial","Yes",8,"Yes","DSL_16MB/S","No","Month-to-month","No","Bank transfer (automatic)"
"No",73.25,"Female","Millenial","No",56,"Yes","DSL_16MB/S","Yes","Two year","No","Bank transfer (automatic)"
"Yes",100.3,"Male","Millenial","No",8,"Yes","Fiber optic","No","Month-to-month","No","Credit card (automatic)"
"Yes",19.25,"Male","Gen Z","No",7,"Yes","Base DSL_16MB/S","No","Month-to-month","No","Electronic check"
"No",20.85,"Male","Gen Z","No",3,"Yes","Base DSL_16MB/S","No","Month-to-month","No","PrePaid"
"Yes",96,"Female","Gen Z","No",2,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"Yes",90.55,"Female","Gen Z","No",1,"Yes","Fiber optic","No","Month-to-month","No","Electronic check"
"No",70.1,"Male","Gen Z","No",58,"Yes","DSL_16MB/S","No","Two year","No","Bank transfer (automatic)"
"Yes",30.35,"Male","Millenial","Yes",44,"No","DSL_16MB/S","No","Month-to-month","Yes","Electronic check"
"No",75.95,"Female","Gen Z","Yes",59,"Yes","DSL_16MB/S","No","Two year","Yes","Credit card (automatic)"
"Yes",69.9,"Male","Gen Z","No",1,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"No",75.25,"Female","Gen Z","No",11,"Yes","Fiber optic","Yes","Month-to-month","No","Electronic check"
"No",54.95,"Female","Gen Z","Yes",35,"Yes","DSL_16MB/S","No","One year","Yes","Bank transfer (automatic)"
"No",19.6,"Male","Gen Z","Yes",40,"Yes","Base DSL_16MB/S","No","Two year","No","PrePaid"
"Yes",86.6,"Male","Gen Z","No",1,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"No",23.75,"Female","Gen Z","Yes",72,"Yes","Base DSL_16MB/S","Yes","Two year","No","Bank transfer (automatic)"
"Yes",80.6,"Female","Millenial","Yes",33,"Yes","Fiber optic","Yes","Month-to-month","Yes","Bank transfer (automatic)"
"No",19.75,"Male","Gen Z","No",1,"Yes","Base DSL_16MB/S","No","Month-to-month","No","Bank transfer (automatic)"
"No",19.15,"Male","Gen Z","No",27,"Yes","Base DSL_16MB/S","No","Month-to-month","No","PrePaid"
"No",19.6,"Male","Gen Z","Yes",34,"Yes","Base DSL_16MB/S","No","One year","No","Credit card (automatic)"
"No",24.35,"Female","Gen Z","No",58,"Yes","Base DSL_16MB/S","Yes","Two year","No","Credit card (automatic)"
"No",25.25,"Female","Gen Z","Yes",22,"Yes","Base DSL_16MB/S","Yes","Two year","No","Credit card (automatic)"
"No",26.1,"Female","Gen Z","Yes",10,"Yes","Base DSL_16MB/S","Yes","Two year","No","Credit card (automatic)"
"Yes",70,"Female","Gen Z","No",34,"Yes","Fiber optic","No","Month-to-month","Yes","Credit card (automatic)"
"Yes",94.3,"Female","Millenial","No",4,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"No",20.7,"Male","Gen Z","Yes",72,"Yes","Base DSL_16MB/S","No","Two year","No","Bank transfer (automatic)"
"Yes",95.35,"Female","Gen Z","No",7,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"Yes",75.5,"Male","Millenial","Yes",27,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"No",20,"Male","Gen Z","No",21,"Yes","Base DSL_16MB/S","No","Month-to-month","No","PrePaid"
"No",95.85,"Female","Millenial","Yes",53,"Yes","Fiber optic","Yes","One year","Yes","Credit card (automatic)"
"Yes",68.95,"Female","Gen Z","No",2,"Yes","Fiber optic","No","Month-to-month","No","Electronic check"
"Yes",99.55,"Male","Gen Z","Yes",32,"Yes","Fiber optic","Yes","Month-to-month","Yes","Credit card (automatic)"
"No",95.9,"Male","Gen Z","No",9,"Yes","Fiber optic","No","Month-to-month","Yes","Bank transfer (automatic)"
"No",49.5,"Female","Gen Z","No",1,"Yes","DSL_16MB/S","No","Month-to-month","No","Electronic check"
"Yes",53.65,"Male","Gen Z","Yes",12,"Yes","DSL_16MB/S","No","One year","No","Credit card (automatic)"
"No",80.1,"Male","Gen Z","Yes",71,"Yes","DSL_16MB/S","Yes","Two year","Yes","PrePaid"
"No",24.4,"Female","Gen Z","No",64,"Yes","Base DSL_16MB/S","Yes","One year","Yes","Bank transfer (automatic)"
"No",40.05,"Male","Gen Z","No",4,"No","DSL_16MB/S","No","Month-to-month","Yes","Electronic check"
"No",19.5,"Female","Gen Z","No",23,"Yes","Base DSL_16MB/S","No","Month-to-month","Yes","PrePaid"
"No",51.05,"Female","Gen Z","Yes",39,"Yes","DSL_16MB/S","No","Month-to-month","No","Credit card (automatic)"
"No",54.35,"Male","Gen Z","Yes",28,"Yes","DSL_16MB/S","No","One year","No","PrePaid"
"No",84.7,"Female","Millenial","No",5,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"No",86.1,"Female","Millenial","Yes",45,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"No",70.35,"Male","Gen Z","No",37,"Yes","Fiber optic","No","Month-to-month","Yes","PrePaid"
"No",110,"Female","Millenial","Yes",60,"Yes","Fiber optic","No","Two year","Yes","Bank transfer (automatic)"
"Yes",100.6,"Male","Millenial","No",8,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"No",94.9,"Female","Gen Z","No",47,"Yes","Fiber optic","Yes","One year","No","Credit card (automatic)"
"Yes",83.75,"Male","Gen Z","Yes",26,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"Yes",88.3,"Female","Millenial","Yes",3,"Yes","Fiber optic","No","Month-to-month","Yes","PrePaid"
"Yes",92.1,"Female","Millenial","No",8,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"No",23.65,"Female","Gen Z","Yes",62,"Yes","Base DSL_16MB/S","Yes","Two year","No","Bank transfer (automatic)"
"No",81.85,"Female","Gen Z","Yes",71,"Yes","DSL_16MB/S","No","Two year","No","Bank transfer (automatic)"
"No",25.1,"Male","Gen Z","No",66,"Yes","Base DSL_16MB/S","Yes","Two year","No","PrePaid"
"No",114.7,"Male","Gen Z","Yes",68,"Yes","Fiber optic","Yes","Two year","Yes","Bank transfer (automatic)"
"No",49.15,"Female","Gen Z","No",13,"No","DSL_16MB/S","No","Month-to-month","No","Electronic check"
"No",80.9,"Male","Gen Z","Yes",56,"Yes","Fiber optic","No","One year","Yes","Electronic check"
"Yes",90.45,"Male","Millenial","No",14,"Yes","Fiber optic","No","Month-to-month","No","Credit card (automatic)"
"No",19.3,"Female","Gen Z","No",16,"Yes","Base DSL_16MB/S","No","One year","Yes","Bank transfer (automatic)"
"No",70.2,"Female","Gen Z","Yes",14,"Yes","Fiber optic","No","Month-to-month","No","Electronic check"
"No",54.25,"Female","Gen Z","No",8,"Yes","DSL_16MB/S","No","One year","No","Bank transfer (automatic)"
"No",99.3,"Female","Gen Z","Yes",43,"Yes","Fiber optic","Yes","Month-to-month","Yes","Bank transfer (automatic)"
"No",50.25,"Male","Gen Z","No",3,"Yes","DSL_16MB/S","No","Month-to-month","Yes","PrePaid"
"No",19.8,"Male","Gen Z","No",29,"Yes","Base DSL_16MB/S","No","One year","Yes","PrePaid"
"No",80.75,"Female","Gen Z","No",40,"Yes","DSL_16MB/S","Yes","One year","Yes","PrePaid"
"Yes",39.5,"Female","Gen Z","No",5,"No","DSL_16MB/S","No","Month-to-month","No","Electronic check"
"No",19.55,"Female","Gen Z","No",36,"Yes","Base DSL_16MB/S","No","One year","No","PrePaid"
"Yes",89.55,"Male","Gen Z","Yes",2,"Yes","Fiber optic","No","Month-to-month","Yes","Bank transfer (automatic)"
"Yes",90.6,"Male","Gen Z","No",23,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"No",112.4,"Female","Millenial","Yes",72,"Yes","Fiber optic","Yes","Two year","Yes","Electronic check"
"No",62.25,"Male","Gen Z","No",10,"Yes","DSL_16MB/S","No","Month-to-month","No","Bank transfer (automatic)"
"Yes",90.05,"Female","Gen Z","No",23,"Yes","Fiber optic","Yes","Month-to-month","Yes","Bank transfer (automatic)"
"No",89.25,"Male","Gen Z","Yes",24,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"Yes",99.05,"Male","Gen Z","Yes",49,"Yes","Fiber optic","Yes","Month-to-month","Yes","Bank transfer (automatic)"
"No",54,"Male","Millenial","No",20,"Yes","DSL_16MB/S","No","One year","No","PrePaid"
"Yes",69.75,"Female","Gen Z","No",2,"Yes","Fiber optic","No","Month-to-month","No","Bank transfer (automatic)"
"Yes",49.05,"Female","Gen Z","No",2,"Yes","DSL_16MB/S","No","Month-to-month","Yes","Credit card (automatic)"
"Yes",98.05,"Male","Gen Z","No",7,"Yes","Fiber optic","Yes","Month-to-month","Yes","Bank transfer (automatic)"
"No",21.1,"Male","Gen Z","No",1,"Yes","Base DSL_16MB/S","No","Month-to-month","No","PrePaid"
"No",96.65,"Female","Gen Z","Yes",59,"Yes","Fiber optic","Yes","Month-to-month","Yes","Bank transfer (automatic)"
"No",24.5,"Female","Gen Z","Yes",58,"Yes","Base DSL_16MB/S","Yes","One year","Yes","Credit card (automatic)"
"No",79.2,"Female","Millenial","No",59,"Yes","Fiber optic","Yes","Two year","Yes","Credit card (automatic)"
"No",69.55,"Female","Gen Z","Yes",3,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"No",25.75,"Male","Gen Z","Yes",0,"Yes","Base DSL_16MB/S","Yes","Two year","No","PrePaid"
"No",19.6,"Female","Gen Z","Yes",52,"Yes","Base DSL_16MB/S","No","One year","No","Credit card (automatic)"
"Yes",74.3,"Female","Millenial","No",13,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"Yes",89.7,"Female","Millenial","No",11,"Yes","Fiber optic","No","Month-to-month","No","Bank transfer (automatic)"
"No",87.65,"Male","Gen Z","No",32,"Yes","Fiber optic","Yes","Month-to-month","No","Bank transfer (automatic)"
"Yes",100.45,"Male","Millenial","Yes",17,"Yes","Fiber optic","Yes","Month-to-month","Yes","Credit card (automatic)"
"No",74.75,"Female","Gen Z","No",16,"Yes","Fiber optic","Yes","Month-to-month","Yes","Credit card (automatic)"
"No",107.45,"Female","Gen Z","No",51,"Yes","Fiber optic","Yes","One year","No","Bank transfer (automatic)"
"No",64.95,"Male","Gen Z","Yes",70,"Yes","DSL_16MB/S","No","Two year","No","Credit card (automatic)"
"No",100.45,"Female","Gen Z","Yes",71,"Yes","Fiber optic","Yes","Two year","No","Electronic check"
"No",80.55,"Male","Gen Z","No",1,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"Yes",90.4,"Male","Gen Z","Yes",25,"Yes","Fiber optic","No","One year","Yes","Electronic check"
"No",89.55,"Male","Gen Z","Yes",67,"Yes","Fiber optic","Yes","One year","No","Electronic check"
"No",55.7,"Male","Gen Z","Yes",5,"Yes","DSL_16MB/S","Yes","Month-to-month","Yes","PrePaid"
"No",24.8,"Male","Gen Z","No",15,"Yes","Base DSL_16MB/S","Yes","Month-to-month","Yes","Electronic check"
"No",20,"Female","Gen Z","Yes",20,"Yes","Base DSL_16MB/S","No","Month-to-month","No","Electronic check"
